"F_得意先番号","F_得意先名称","F_得意先略称","F_敬称","F_英語名称","F_先担当部課","F_先担当","F_先担当敬称","F_経理担当部課","F_経理担当","F_経理担当敬称","F_郵便番号","F_住所１","F_住所２","F_住所３","F_英語住所１","F_英語住所２","F_電話番号","F_ＦＡＸ番号１","F_ＦＡＸ番号２","F_輸送ＬＴ","F_請求先番号","F_納品書発行","F_在庫引当区分","F_個別登録","F_検収区分","F_担当者","F_更新日付","F_更新時刻","F_照会項目","F_登録日","F_更新日","F_検査ＬＴ","F_予備ＬＴ","F_印刷Ｂ","F_切断余長区分","F_生産担当"
"1951181","ロイヤルコントロ－ルズ株式会社","ロイヤルコントロ－ルズ㈱","様","","","","","","","","162-0824","東京都新宿区揚場町2-14","","","","","03-5261-2051","03-","","1","1951181","0","2","2","1","100009","ﾛｲﾔﾙｺﾝﾄﾛ-ﾙ","11:04:01","","2002/09/27 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1954325","六甲技研株式会社","六甲技研㈱","様","","","","","","","","674-0067","明石市大久保町大久保町１６５－１６７","","購買担当　　　　御中経理課　　　　　御中","","","078-935-2104","078-935-2198","","1","1954325","0","2","2","1","100009","ﾛｯｺｳｷﾞｹﾝ","11:04:01","","2002/09/27 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1817157","株式会社　　井関重信製作所","㈱　井関重信","様","","","","","","","","791-0212","愛媛県東温市田窪660-3","","","","","089-907-6788","089-907-2772","","3","1817175","0","2","2","1","300137","ｲｾｷｼﾞｭｳｼﾝ","10:03:26","","2002/07/24 00:00:00","2012/12/26 00:00:00","2","0","","N",""
"1817175","㈱井関重信製作所　経理課","㈱井関重信製　経理課","御中","","","","","","","","791-0212","愛媛県東温市田窪660-3","","","","","089-907-6788","089-907-2772","","3","1817175","0","2","2","1","300137","ｲｾｷｼﾞｭｳｼﾝ","10:12:31","","2002/07/24 00:00:00","2012/12/26 00:00:00","2","0","1","N",""
"18171751","株式会社　井関重信製作所","㈱井関重信製作所","様","","","上田","","","","","791-0212","愛媛県東温市田窪６６０－３","","","","","089-907-6766","089-907-2772","","3","1817175","0","2","2","1","300137","ｲｾｷｼﾞｭｳｼﾝ","10:13:49","","2002/07/24 00:00:00","2012/12/26 00:00:00","2","0","","N",""
"1817176","株式会社　山忠商会","㈱山忠商会","様","","","","","","","","673-0434","三木市別所町小林675-5","","","","","0794-85-9401","0794-85-9403","","1","1817176","0","2","2","1","100009","(ｶﾌﾞ)ﾔﾏﾁｭｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1834152","コベルコ建機㈱","コベルコ建機㈱","御中","Kobelco","納期管理グループ","廣澤","様","","","","731-5161","広島県広島市佐伯区五日市港2丁目2番1号","","材料売り単価の5倍","","Kobelco","082-943-5269","082-943-5373","","3","1834152","1","2","2","1","100106","ｺﾍﾞﾙｺ","14:05:05","","2002/07/24 00:00:00","2026/05/14 13:27:54","6","0","1","N","100110"
"18341521","コベルコ建機㈱祇園工場","コベルコ建機㈱　祇園工場","様","Kobelco Construction Machinery Co., Ltd.","","","","","","","731-3161","広島市安佐南区祇園３－１２－４","","","","Kobelco","082-848-2111","082-848-5531","","2","1834152","3","2","2","1","100011","ﾕﾀﾆｼﾞｭｳｺｳﾇ","14:38:28","","2002/07/24 00:00:00","2012/02/29 00:00:00","1","0","","N","100110"
"18341523","コベルコ建機株式会社　広島  Ｐ／Ｃ","コベルコ広島Ｐ／Ｃ","様","","","","","","","","731-0138","広島市安佐南区祇園３丁目１２番４号","","","","","082-874-1111","082-874-4200","","2","18341523","1","2","2","1","300137","ｺﾍﾞﾙｺﾋﾛｼﾏ","15:18:03","","2002/07/24 00:00:00","2008/02/22 00:00:00","1","0","","N",""
"18341524","コベルコ建機株式会社  大久保 Ｐ／Ｃ","コベルコ大久保P/C","様","Kobelco Okubo","","","","","","","674-0063","明石市大久保町八木７４０","","","","Kobelco","078-936-1331","078-","","4","18341524","1","2","2","1","100025","ｺﾍﾞﾙｺ ｵｵｸﾎ","16:42:04","","2002/07/24 00:00:00","2026/05/14 13:27:54","1","0","","N","100110"
"1853241","㈱吉高自動車修理工場","㈱吉高自動車修理工場","様","","","","","","","","674-0029","明石市大道町2-11-24","","","","","078-927-2256","078-929-1716","","1","1853241","1","1","2","1","100009","ﾖｼﾀｶｼﾞﾄﾞｳｼ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"6931966","有限会社 ﾌﾟﾗｽｱﾙﾌｧ","ﾌﾟﾗｽｱﾙﾌｧ-","御中","Plus Alpha","","吉岡","","","","","224-0025","神奈川県横浜市都筑区早渕1丁目24-17","","","","","045-595-2223","045-595-2224","","1","6931966","1","2","2","1","100025","(ﾕｳ) ﾌﾟﾗｽｱ","14:56:01","","2002/07/24 00:00:00","2011/07/19 00:00:00","1","0","1","N",""
"743711W1","祇園工場","祇園工場","様","","","","","","","","731-0138","広島県","広島県","","","","082-874-1121","082-874-1121","","2","743711W1","","2","2","1","100009","ｷﾞｵﾝｺｳｼﾞｮｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"746111W1","祇園工場","祇園工場","様","","","","","","","","731-0138","広島県広島市","安佐南区祇園３丁目１２－４","","","","082-874-1121","082-874-9150","","2","746111W1","","2","2","1","100009","ｷﾞｵﾝ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"747710I1","プレス工業株式会社","プレス工業㈱","様","","","","","","","","000","プレス市","","","","","000","000","","3","747710I1","","2","2","1","100009","ﾌﾟﾚｽｺｳｷﾞｮｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"8000280","三波工業株式会社","三波工業㈱","様","","","","","","","","674-0067","明石市大久保町大久保町４５１－１","","","","","078-934-6617","078-934-6619","","1","8000280","0","2","2","1","100009","ﾐﾅﾐｺｳｷﾞｮｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"8000300","東亜電機工業株式会社","東亜電機工業㈱","様","","","","","","","","923-8520","小松市国分台５－３","","","","","0761-47-2996","0761-47-3786","","1","8000300","0","2","2","1","100025","ﾄｳｱﾃﾞﾝｷｺｳｷ","16:33:57","","2002/07/24 00:00:00","2012/12/05 00:00:00","1","0","1","N",""
"8000310","株式会社小松製作所　滋賀工場","コマツ滋賀工場","御中","","","谷","様","","","","520-2551","滋賀県蒲生郡竜王町薬師1166","","","","Komatsu","0748-58-1154","0748-58-1607","","2","8000310","3","2","2","1","100046","ｺﾏﾂｼｶﾞｺｳｼﾞ","14:09:37","","2002/07/24 00:00:00","2026/07/22 00:00:00","1","0","1","N","100149"
"8000311","株式会社オークラ","㈱オークラ","様","","","","","","","","520-2551","滋賀県蒲生郡竜王町薬師1166","","","","","0748-58-1154","0748-58-1607","","2","8000311","","2","2","1","100009","ｵｰｸﾗ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"8341523","コベルコ建機株式会社　大久保クレーン工場","コベルコ建機㈱大久保クレーン","様","","","","","","","","674-0063","明石市大久保町八木７４０","","","","","078-936-1331","9350779","","1","8341523","3","2","1","1","200070","ｵｵｸﾎﾞｸﾚｰﾝ","16:05:33","","2002/07/24 00:00:00","2003/11/13 00:00:00","1","0","1","N",""
"2456532","有限会社トーボシ産業","㈲トーボシ産業","御中","","","","","","","","675-1112","加古郡稲美町六分一 1209-59","","","","","0794-95-2710","0794-95-2810","","1","2456532","2","2","2","1","300137","ﾄｰﾎﾞｼｻﾝｷﾞｮ","13:12:27","","2002/07/24 00:00:00","2021/10/11 00:00:00","1","0","","N",""
"2526599","株式会社日本テック","㈱日本テック","様","","","","","","","","671-1125","姫路市広畑区正門通４丁目１０－６","","経理課　　　　　　　　　　　　　　　御中","","","0792-39-8867","0792-39-8335","","1","2526599","1","2","2","1","100009","ﾆﾎﾝﾃｯｸ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"2741292","明立電子工業所","明立電子工業所","様","","","","","","","","656-0014","兵庫県洲本市桑間６３０番地","","御中","","Meiritsu","0799-22-7012","0799-22-7078","","1","2741292","1","2","2","1","100049","ﾒｲﾘﾂﾃﾞﾝｼｺｳ","13:53:28","","2002/07/24 00:00:00","2003/11/20 00:00:00","1","0","","N",""
"2741292B","明立電子工業所Ｂ","明立電子Ｂ","様","","","","","","","","656-0014","兵庫県洲本市桑間６３０番地","","","","","0799-22-7012","0799-23-0712","","1","2741292B","0","2","2","1","100009","ﾒｲﾘﾂﾃﾞﾝｼ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"331907W1","東亜電機工業株式会社","東亜電機工業㈱","様","","","","","","","","923-8520","小松市国分台５－３","","","","","0761-47-2996","0461-47-3786","","3","331907W1","","2","2","1","100009","ﾄｳｱﾃﾞﾝｷｺｳｷ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"54X0","汎建奈良製作所","汎建奈良製作所","様","","","","","","","","636-0204","奈良県磯城郡川西町唐院712-3","","","","","0720-","0720-","","2","1619935","3","2","2","1","100046","ﾊﾝｹﾝﾅﾗｾｲｻｸ","10:01:22","","2002/07/24 00:00:00","2020/09/17 00:00:00","1","0","","N",""
"641963W1","株式会社トモエシステム　神戸","㈱ﾄﾓｴｼｽﾃﾑ","様","","","","","","","","652-0803","神戸市兵庫区大開通7-1-17","","材料売り単価の5倍","","","078-576-5160","078-577-1722","","2","641963W1","1","2","2","1","100025","ﾄﾓｴｼｽﾃﾑ","11:24:57","","2002/07/24 00:00:00","2005/10/05 00:00:00","1","0","1","N",""
"641964U1","株式会社巴商会電装","㈱巴商会電装","様","","","","","","","","652-0803","神戸市兵庫区大開通７丁目１－２０","","","","","078-576-1088","078-","","2","641964U1","","2","2","1","100009","ﾄﾓｴｼｮｳｶｲﾃﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"641996U1","株式会社巴商会電装","㈱巴商会電装","様","","","","","","","","652-0803","神戸市兵庫区大開通７丁目１－２０","","","","","078-576-1088","078-","","2","641996U1","","2","2","1","100009","ﾄﾓｴｼｮｳｶｲﾃﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1924499","株式会社リーデン","㈱リーデン","御中","","","","","","","","300-0065","茨城県土浦市常名町３２９５","","","","","0298-22-2441","0298-24-3557","","1","1924499","1","2","2","1","9982","ﾘｰﾃﾞﾝ","10:59:25","","2002/07/24 00:00:00","2007/10/22 00:00:00","1","0","","N",""
"1962499","和研工業株式会社","和研工業㈱","様","","","","","","","","554-0024","大阪市此花区島屋４丁目３番８号","テクノパーク島屋１９号","","","","06-6460-0005","06-6460-0006","","2","1962499","0","2","2","1","100009","ﾜｹﾝｺｳｷﾞｮｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"2000001","PT. BANSHU ELECTRIC INDONESIA","PT. BANSHU ELECTR","様","","","","","","","","000","JL.JABABEKA VI BLOCK U-9B","BEKASI 17530 INDONEIAS","","","","62-21-893-4777","62-21-893-4776","","22","2000001","3","2","2","1","100009","BEI","09:19:55","","2002/07/24 00:00:00","2004/04/06 00:00:00","1","0","","N",""
"2111201","相和電子工業株式会社","相和電子工業㈱","様","","","","","","","","678-0056","相生市那波東本町7番20号","","","","","0791-22-2421","0791-22-5618","","1","2111201","1","2","2","1","100009","ｱｲﾜﾃﾞﾝｼｺｳｷ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"2113925","共和工業株式会社","共和工業㈱","様","","","","","","","","721-0942","広島県福山市引野4-4-28","","","","","0849-41-0500","0849-41-6457","","1","2113925","0","2","2","1","100009","ｷｮｳﾜｺｳｷﾞｮｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"2196312","日立建機株式会社　播州工場","日立建機㈱播州工場","様","","","","","","","","675-1113","加古郡稲美町岡２６８０番地","","","","日立建機株式会社　播州工場","0794-95-1213","0794","","3","2196312","0","2","2","1","300137","ﾋﾀﾁ","14:31:40","","2002/07/24 00:00:00","2019/03/30 00:00:00","2","0","1","N","100115"
"2196313","川崎重工業株式会社西神戸工場","川崎重工業㈱西神戸工場","様","","","","","","","","651-2239","神戸市西区櫨谷町松本234番地","精機事業部　資材部　機器資材Ｇr","滝本様　　　　　御中","","","078-991-1339","078-991-1581","","1","2196313","2","2","2","1","100009","ｶﾜｻｷｼﾞｭｳｺｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"2341263","有限会社西部電装","（有）西部電装","様","","","","","","","","733-0006","広島市西区三篠北町１７－１７","","","","","082-238-8525","082","","1","2341263","1","2","2","1","100009","ｾｲﾌﾞﾃﾞﾝｿｳ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1746111","昌和工業㈱広島営業所","昌和工業㈱広島営業所","様","","","中山","","","","","","広島市安佐南区緑井3-8-2","㈱ｴﾇｴｰｼﾞｰﾊﾟｰﾂｻｰﾋﾞｽ内","","","","082-877-8515","","","1","1328103","3","1","2","2","100009","","09:41:20","","2003/10/25 00:00:00","2004/11/18 00:00:00","0","0","","N",""
"2718142","有限会社　宮地加工所","㈲宮地加工所","様","","","","","","","","719-3505","岡山県阿哲郡大佐町大字布瀬1931-1","","","","","0867-98-3488","0867-98-3466","","1","2718142","0","2","2","1","100009","ﾐﾔｼﾞｶｺｳｼｮ","09:30:53","","2002/09/27 00:00:00","2003/01/29 00:00:00","1","0","","N",""
"18341522","コベルコ建機㈱沼田工場（広金）","コベルコ建機㈱沼田工場（広金）","様","Kobelco Construction Machinery Co., Ltd.","","","","","","","731-3167","広島市安佐南区大塚西2丁目22-7","","","","","082-848-2111","082-848-5531","","1","1834152","3","2","1","1","100106","ﾕﾀﾆｼﾞｭｳｺｳﾇ","10:25:35","","2002/07/24 00:00:00","2019/10/08 00:00:00","2","0","","N",""
"1320323A","新光電機株式会社","新光電機㈱","様","","","","","","","","651-22","神戸市西区高塚台3-1-55","","","","","078-992-0671","078-992-0506","","1","1320323A","1","2","2","1","100009","ｼﾝｺｳﾃﾞﾝｷ(ｶ","11:04:01","","2002/10/16 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1834153","油谷重工株式会社沼田工場","油谷重工㈱沼田工場","様","","","","","","","","731-3161","広島市安佐南区沼田町伴１２７２－１０","","","","","082-848-2111","082-848-5531","","3","1834153","","2","2","1","100009","ﾕﾀﾆｼﾞｭｳｺｳﾇ","11:04:01","","2002/10/16 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1834155","コベルコ建機株式会社　広島  Ｐ／Ｃ","コベルコ建機㈱　広島Ｐ／Ｃ","様","","","","","","","","731-0138","広島市安佐南区祇園３丁目１２番４号","","","","","082-874-1111","082-874-4200","","2","1834155","1","2","2","1","100009","ｺﾍﾞﾙｺﾋﾛｼﾏ","11:04:01","","2002/10/16 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1834156","コベルコ建機㈱  大久保 Ｐ／Ｃ","コベルコ建機㈱  大久保 Ｐ／Ｃ","様","","","","","","","","674-0063","明石市大久保町八木７４０","","","","Kobelco","078-936-1331","078-","","1","1834156","1","2","2","1","100009","ｺﾍﾞﾙｺ ｵｵｸﾎ","11:04:01","","2002/10/16 00:00:00","2003/01/13 00:00:00","1","0","","N","100110"
"8341521","祇園工場","祇園工場","様","","","","","","","","731-0138","広島市安佐南区祇園３丁目１２番４号","","","","","082-874-1111","082-874-4200","","2","8341521","","2","2","1","100009","ｷﾞｵﾝｺｳｼﾞｮｳ","11:04:01","","2002/10/16 00:00:00","2003/01/13 00:00:00","1","0","","N","100110"
"8341522","沼田工場","沼田工場","様","","","","","","","","731-3161","広島市安佐南区大塚西2丁目22番7号","","","","","082-848-2111","082-848-5531","","2","8341522","3","2","2","1","100025","ﾇﾏﾀｺｳｼﾞｮｳ","14:06:10","","2002/10/16 00:00:00","2015/02/04 00:00:00","1","0","","N",""
"8341525","コベルコ建機株式会社　高砂クレーン工場","コベルコ建機㈱高砂クレーン","様","","","","","","","","674","兵庫県高砂市","","","","","078-","078-","","1","8341525","","2","2","1","100009","ﾀｶｻｺﾞｸﾚｰﾝ","11:04:01","","2002/10/16 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"8341526","コベルコ建機株式会社　カスタマサポート部","コベルコ建機㈱カスタマ","様","","","","","","","","674","兵庫県","","","","","078-935-0731","078-935-1341","","1","8341526","","2","2","1","100009","ｶｽﾀﾏｻﾎﾟｰﾄ","11:04:01","","2002/10/16 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1412131","高砂電子工業株式会社","高砂電子工業㈱","様","","","","","","","","676-0077","高砂市松陽3-767","","","","","0794-48-5700","0794-48-5567","","1","1412131","1","2","2","1","100009","ﾀｶｻｺﾞﾃﾞﾝｼｺ","11:04:01","","2002/11/18 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1632523","株式会社　フコク東海","㈱フコク東海","様","","","","","","","","454-0963","名古屋市中川区水里2丁目130番地","","","","","052-303-2831","052-303-2831","","1","1632523","0","2","2","1","100009","ﾌｺｸﾄｳｶｲ","11:04:01","","2002/11/18 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1813123","矢崎総業株式会社","矢崎総業㈱","様","","","","","","","","","","","","","","","","","3","1813123","3","2","1","1","100009","","15:22:35","","2003/01/06 00:00:00","2003/01/06 00:00:00","1","0","","N",""
"1243234","株式会社　ケ－シ－シ－テック","㈱ｹ-ｼ-ｼ-ﾃｯｸ","御中","","","","","","","","674-0066","明石市大久保町福田409-16","","","","","078-938-0651","078-938-0658","","1","1243234","1","2","2","1","100015","ｹ-ｼ-ｼ-ﾃｯｸ","15:03:50","","2003/01/13 00:00:00","2004/10/28 00:00:00","1","0","1","N",""
"1349925","センコーアドバンス株式会社","センコーアドバンス㈱","御中","","","","","","","","510-0833","三重県四日市市中川原2丁目5-23","","","","","059-352-1121","059-352-1149","059-352-1131","1","1349925","1","2","2","1","300137","ｾﾝｺｳｻﾝｷﾞｮｳ","14:43:18","","2002/07/24 00:00:00","2021/03/22 00:00:00","1","0","","N",""
"2412481","竹安電気","竹安電気","様","","","","","","","","","","","","","","","","","2","2412481","3","2","1","2","100009","","09:10:05","","2003/02/11 00:00:00","2003/04/22 00:00:00","1","0","","N",""
"1312175","阪本株式会社","阪本㈱","御中","SAKAMOTO","","高田","様","","","","652-0823","神戸市兵庫区東出町3丁目14-8","","","","","078-671-3355","078-681-3227","","11","1312175","2","2","1","2","100015","ｻｶﾓﾄ","10:59:06","","2003/02/13 00:00:00","2003/02/13 00:00:00","1","0","","N",""
"12571432","コマツ部品管理センタ（枚方）","コマツ部品管理センタ（枚方）","様","Komatsu Parts Hirakata","","","","","","","573-1011","大阪府枚方市上野３－１－１","コマツ大阪工場","谷口センター長様御中","","Komatsu","0720-40-6066","0720-40-5328","","3","12571432","2","1","2","1","100046","ｺﾏﾂｵｵｻｶｺｳｼ","13:58:51","","2002/07/24 00:00:00","2016/07/25 00:00:00","11","0","","N","100149"
"1624110B","日立建機ロジテック(株) 土浦第二物流センター","土浦物流センタ-","様","Hitachi Tutiura Buturyu Center","","","","","","","300-0026","茨城県土浦市木田余3550番地","㈱プロテリアル金属内　日立建機ロジテック㈱　5・6号棟","","","Hitachi","029-893-3330","029-893-3852","","1","1624110","3","2","1","2","100126","ﾋﾀﾁｹﾝｷ","14:25:25","","2003/10/20 00:00:00","2023/12/01 00:00:00","1","0","","S",""
"1624110C","日立建機ロジテック株式会社 名古屋物流ｾﾝﾀ","新治","様","","","","","","","","476-0002","愛知県東海市名和町三番割下70番地4","","","","","052-689-7061","","","1","1624110C","3","2","1","2","100112","ﾆｲﾊﾘ","16:49:55","","2003/10/20 00:00:00","2018/05/25 00:00:00","1","0","","S",""
"2523221","西垣　真砂代","西垣　真砂代","","","","","","","","","","","","","","","","","","0","2523221","3","2","1","2","200070","","15:15:58","","2004/10/07 00:00:00","2004/10/07 00:00:00","0","0","","N",""
"Y6111W","昌和工業㈱広島営業所（中国）","昌和工業㈱広島営業所（中国）","様","","","中山","","","","","","広島市安佐南区緑井3-8-2","㈱ｴﾇｴｰｼﾞｰﾊﾟｰﾂｻｰﾋﾞｽ内","","","","082-877-8515","","","2","1834152","3","1","2","2","100009","","09:27:57","","2005/01/28 00:00:00","2005/01/28 00:00:00","3","0","","N",""
"1116110","","㈱エヌエー","","NA","資材","鈴木美也子","","","","","","静岡県浜松市新原3846-3","","","","","053-587-0085","053-587-0821","","2","1116110","2","2","1","1","100025","ｴﾇｴｰ","13:21:06","","2007/02/05 00:00:00","2007/02/05 00:00:00","0","0","","N",""
"1624121","株式会社日立建機カミーノ","㈱日立建機カミーノ","御中","Hitachi Construction Machinery Camino Co., Ltd","調達部　購買グループ","小松","様","","","","999-3737","山形県東根市大字若木字七窪5600-1","","","","Hitachi","0237-48-2906","0237-48-2896","0237-48-3484","4","1624121","2","2","2","1","300137","ﾋﾀﾁｹﾝｷｶﾐｰﾉ","11:10:08","","2007/02/05 00:00:00","2017/01/18 00:00:00","1","0","1","S","100115"
"2933255","連城　邦子","","","","","","","","","","","","","","","","","","","0","2933255","3","2","1","2","100018","","13:26:00","","2007/03/15 00:00:00","2007/03/15 00:00:00","0","0","","N",""
"2853251","㈱吉永電気","","","","","","","","","","","","","","","","","","","0","2853251","3","2","1","2","100018","","10:26:22","","2007/05/11 00:00:00","2007/05/11 00:00:00","0","0","","N",""
"2261945","神戸エレクトロニクス","","","","","","","","","","","","","","","","","","","0","2261945","3","2","1","2","100018","","10:26:45","","2007/05/11 00:00:00","2007/05/11 00:00:00","0","0","","N",""
"1364810","㈱　メタルワン","㈱　メタルワン","御中","Metal One","厚板部厚板課","小田","様","","","","105-0014","東京都港区芝3-23-1","","","","","03-6400-2238","03-6400-2928","","0","1364810","3","2","1","2","100025","ﾒﾀﾙﾜﾝ","12:02:35","","2005/01/25 00:00:00","2005/06/08 00:00:00","0","0","1","N",""
"1624112","日立建機龍ヶ崎　アルバ","日立建機龍ヶ崎　アルバ","御中","Hitachi Construction Machinery Co., Ltd ALBA","資材部 資材Ｇ","猪瀬","様","","","","301-8501","茨城県龍ヶ崎市3番地","","","","Hitachi","0297-64-3115","0297-64-6802","","2","1624112","2","2","1","1","500010","ﾃｨｼｨｴﾑ","13:08:54","","2005/03/07 00:00:00","2012/10/03 00:00:00","1","0","1","S","100115"
"2933342","龍造寺","","","","","","","","","","","","","","","","","","","0","2933342","3","2","1","2","200070","","15:22:55","","2005/03/18 00:00:00","2005/03/18 00:00:00","0","0","","N",""
"11523","山九㈱三原工場","山九㈱三原工場","","","河村マネジャー","","","","","","","広島県三原市沼田西町松江1876-1","","","","","0848-86-0539","","","0","11523","3","2","1","2","190047","ｻﾝｷｭｳ","09:42:55","","2005/04/22 00:00:00","2005/05/19 00:00:00","0","0","","N",""
"1724601","株式会社イチネンアクセス","㈱イチネンアクセス（住友）","御中","MIZUHO AUTOMOBILE INDUSTRIAL CO.,LTD","建機部","高木様","","","","","108-0073","東京都港区三田三丁目１３番１６号　三田43ＭＴﾋﾞﾙ15階","","","","Mizuho","03-5484-6382","03-5484-6383","","4","1724601","2","2","2","1","100107","ｱｸｾｽ","14:02:00","","2006/07/26 00:00:00","2022/04/04 00:00:00","10","0","1","N","100110"
"1328103","昌和工業㈱広島営業所","昌和工業㈱広島営業所","様","","","中山","","","","","731-0103","広島市安佐南区緑井3-6-33","㈱ｴﾇｴｰｼﾞｰﾊﾟｰﾂｻｰﾋﾞｽ内","","","","082-877-8515","","","2","1328103","3","1","2","2","100025","","13:11:20","","2003/09/23 00:00:00","2008/09/08 00:00:00","2","0","","N",""
"1411323","株式会社　電精社","㈱　電精社","","","土浦営業所","岡本","","","","","300-0012","茨城県土浦市神立東2丁目8-1","","","","","0298-31-3991","0298-31-6097","","0","1411323","3","2","1","2","100049","ﾃﾞﾝｾｲｼｬ","14:46:56","","2004/01/17 00:00:00","2004/02/25 00:00:00","0","0","","N","100115"
"1643345","株式会社　ベストシステム","㈱ベストシステム","様","","","山田","様","","","","315-0055","茨城県かすみがうら市稲吉南3-2-3","","材料売り仕入単価×10　電線類は仕入れ×3","","","029-834-1311","029-834-1312","","0","1643345","3","2","1","2","9982","ﾍﾞｽﾄｼｽﾃﾑ","15:56:51","","2004/04/26 00:00:00","2007/09/28 00:00:00","0","0","","N",""
"1516144","因幡電機産業株式会社","因幡電機産業㈱","御中","","","","","","","","550-0012","大阪市西区立売堀4-11-14","","","","","06-4391-1825","06-4391-1806","","1","1516144","1","2","2","1","300137","ｲﾅﾊﾞﾃﾞﾝｷ","14:14:16","","2003/10/16 00:00:00","2025/01/07 00:00:00","0","0","","N",""
"1134373A","伊勢湾海運株式会社　大阪港流通センター","伊勢湾海運(株)　大阪港流通センタ","御中","","","","","","","","559-0033","大阪市住之江区南港中7-3-109","","","","","06-6614-3755","","","1","1134373","3","2","1","2","100126","ｲｾﾜﾝｶｲｳﾝ","09:27:44","","2003/10/22 00:00:00","2020/03/26 00:00:00","0","0","","N","100149"
"1134373B","有限会社ミトク商事","㈲ミトク商事","御中","","","","","","","","323-0804","栃木県小山市大字萱橋字野合1179-3","","","","","0285-39-1533","","","1","1134373","3","2","1","2","100126","ﾐﾄｸｼｮｳｼﾞ","17:50:21","","2003/10/22 00:00:00","2020/09/14 00:00:00","1","0","","N","100149"
"1714373","(有)松村鉄工所","松村鉄工所","","","管理課長","山本京美","","","","","","高知県香美郡香北町わの字ハウジケ谷256-1","","","","","08875-8-3171","08875-8-4173","","5","1714373","3","2","1","2","200070","","12:30:10","","2003/12/19 00:00:00","2003/12/19 00:00:00","0","0","","N",""
"1641511","立花エレテック","立花エレテック","様","","","","","","","","","兵庫県加古川市尾上町養田1378","オークラ工業㈱ 経由　立花エレテック","","","","","","","1","1641511","2","1","1","1","190047","","17:10:47","","2003/10/23 00:00:00","2003/10/28 00:00:00","0","0","","N",""
"1640508","上組六甲アイランド営業所","上組六甲アイランド営業所","様","","","金井","","","","","658-0032","神戸市東灘区向洋町３丁目","","","","","","","","1","1632732","3","2","1","2","190047","","09:36:19","","2003/09/22 00:00:00","2003/09/23 00:00:00","1","0","","N",""
"12513655","コベルコ建機エンジニアリング㈱特機生産部九州駐在","ｺﾍﾞﾙｺｴﾝｼﾞ九州","","Kobelco ENG Kyusyu","","久保山","","","","","816-0912","福岡県大野城市御笠川３丁目１番８号","","材料売り単価の5倍","","Kobelco","092-503-5239","092-504-1670","","2","12513655","2","2","2","1","100025","ｺﾍﾞﾙｺｹﾝｷ","19:20:25","","2004/04/28 00:00:00","2009/04/01 00:00:00","2","0","1","N","100110"
"13556679","酒井重工業株式会社　プロダクトサポート部","酒井重工業（株）ﾌﾟﾛﾀﾞｸﾄｻﾎ","様","SAKAI HEAVY INDUSTRIES-Product Support","","","","","","","349-1125","埼玉県久喜市高柳2500","埼玉県北葛飾郡栗橋町大字高柳2500","","","SAKAI","049-261-2850","049-261-2859","","3","13556679","3","2","2","1","100025","ｻｶｲｼﾞｭｳｺｳｷ","10:28:11","","2004/05/17 00:00:00","2011/08/24 00:00:00","4","0","1","N","100115"
